game,gameLabel,sitelinks
http://www.wikidata.org/entity/Q715581,Warhammer Online Age of Reckoning,17
http://www.wikidata.org/entity/Q483207,The Exiled Realm of Arborea,17
http://www.wikidata.org/entity/Q511995,Pinball,17
http://www.wikidata.org/entity/Q766891,Motorstorm Pacific Rift,17
http://www.wikidata.org/entity/Q768821,Simpsons Springfield,17
http://www.wikidata.org/entity/Q745481,Dragon Quest X,17
http://www.wikidata.org/entity/Q240004,Nurikabe,17
http://www.wikidata.org/entity/Q1041292,Baseball,17
http://www.wikidata.org/entity/Q1052116,Crash Bandicoot Fusion och Spyro Fusion,17
http://www.wikidata.org/entity/Q285449,Ef A Fairy Tale of the Two,16
http://www.wikidata.org/entity/Q375962,Soldier of Fortune II Double Helix,16
http://www.wikidata.org/entity/Q383700,Marvel vs. Capcom 2 New Age of Heroes,16
http://www.wikidata.org/entity/Q692715,X-Men Children of the Atom,16
http://www.wikidata.org/entity/Q2418673,Civilization V Gods Kings,16
http://www.wikidata.org/entity/Q693311,Rez,16
http://www.wikidata.org/entity/Q693500,Frozen Bubble,16
http://www.wikidata.org/entity/Q392321,Age of Wonders,16
http://www.wikidata.org/entity/Q392698,Stranglehold,16
http://www.wikidata.org/entity/Q481741,Ace Combat 6 Fires of Liberation,16
http://www.wikidata.org/entity/Q732438,Just Dance 2,16
http://www.wikidata.org/entity/Q483454,Anachronox,16
http://www.wikidata.org/entity/Q734758,Gauntlet,16
http://www.wikidata.org/entity/Q486410,Anarchy Online,16
http://www.wikidata.org/entity/Q489337,ADOM,16
http://www.wikidata.org/entity/Q517640,Phoenix,16
http://www.wikidata.org/entity/Q758900,Audiosurf,16
http://www.wikidata.org/entity/Q740986,Amerzone,16
http://www.wikidata.org/entity/Q748579,Mickey Mania,16
http://www.wikidata.org/entity/Q528376,Rhythm Paradise,16
http://www.wikidata.org/entity/Q288958,Operation Wolf,15
http://www.wikidata.org/entity/Q372385,The Lord of the Rings The Third Age,15
http://www.wikidata.org/entity/Q386386,Galaxy Game,15
http://www.wikidata.org/entity/Q392678,Red Orchestra 2 Heroes of Stalingrad,15
http://www.wikidata.org/entity/Q430080,Excite Truck,15
http://www.wikidata.org/entity/Q489132,Hellgate London,15
http://www.wikidata.org/entity/Q738698,Bomb Jack,15
http://www.wikidata.org/entity/Q760211,Manic Miner,15
http://www.wikidata.org/entity/Q766077,Dungeon Defenders,15
http://www.wikidata.org/entity/Q524661,Perfect Dark Zero,15
http://www.wikidata.org/entity/Q748754,Fallout Brotherhood of Steel,15
http://www.wikidata.org/entity/Q1035703,Heroes of Might and Magic III The Shadow of Death,15
http://www.wikidata.org/entity/Q1014915,Burgertime,15
http://www.wikidata.org/entity/Q776131,Just Dance 3,15
http://www.wikidata.org/entity/Q779227,FIFA Street 3,15
http://www.wikidata.org/entity/Q541988,Ultima IV Quest of the Avatar,15
http://www.wikidata.org/entity/Q798676,Bad Dudes vs. DragonNinja,15
http://www.wikidata.org/entity/Q27107,DC Universe Online,15
http://www.wikidata.org/entity/Q567252,Anno 1701,15
http://www.wikidata.org/entity/Q427207,More Brain Training from Dr. Kawashima How Old Is Your Brain,14
http://www.wikidata.org/entity/Q735275,Jetpac,14
http://www.wikidata.org/entity/Q761957,Crash Bandicoot XS,14
http://www.wikidata.org/entity/Q2120242,Loop the Loop,14
http://www.wikidata.org/entity/Q1026656,Donkey Kong Jr. Math,14
http://www.wikidata.org/entity/Q1027136,Civilization Call to Power,14
http://www.wikidata.org/entity/Q996649,Broken Age,14
http://www.wikidata.org/entity/Q535928,Battles of Prince of Persia,14
http://www.wikidata.org/entity/Q281392,Killzone Liberation,13
http://www.wikidata.org/entity/Q282008,Timesplitters 2,13
http://www.wikidata.org/entity/Q286205,Wipeout,13
http://www.wikidata.org/entity/Q290136,Space Channel 5,13
http://www.wikidata.org/entity/Q374820,Darius,13
http://www.wikidata.org/entity/Q690832,Battalion Wars 2,13
