"Rank","Name","Symbol","marketcap","price (USD)","country"
"158","Knowit","KNOW.ST","302494932","11.1095","Sweden"
"159","Lime Technologies AB","LIME.ST","290573861","21.8071","Sweden"
"160","Neobo Fastigheter","NEOBO.ST","256672023","1.8301","Sweden"
"161","Green Landscaping Group","GREEN.ST","250656270","4.44061","Sweden"
"162","KlaraBo Sverige","KLARA-B.ST","233309662","1.55237","Sweden"
"163","Stille AB","STIL.ST","216833715","24.1317","Sweden"
"164","Orrön Energy","ORRON.ST","215725435","0.754535","Sweden"
"165","Cereno Scientific","CRNO-B.ST","213466357","0.684837","Sweden"
"166","Stillfront Group","SF.ST","196683593","0.408684","Sweden"
"167","Dustin Group","DUST.ST","194380490","0.143198","Sweden"
"168","Arise AB","ARISE.ST","190647366","4.67444","Sweden"
"169","Nobia AB","NOBI.ST","188328484","0.198956","Sweden"
"170","Björn Borg","BORG.ST","188292663","7.48727","Sweden"
"171","Fasadgruppen Group","FG.ST","187591742","2.14903","Sweden"
"172","ALM Equity","ALM.ST","179173034","5.38576","Sweden"
"173","Annehem Fastigheter","ANNE-B.ST","168160604","1.93043","Sweden"
"174","Siljansvik AB","SIVI.ST","164819312","11.986","Sweden"
"175","Byggmästare Anders J Ahlström","AJA-B.ST","162368709","5.58747","Sweden"
"176","Enad Global 7","EG7.ST","152890374","1.72556","Sweden"
"177","Fortinova Fastigheter AB","FNOVA-B.ST","139865799","2.72456","Sweden"
"178","Genovis AB","GENO.ST","135622044","2.05293","Sweden"
"179","Micro Systemation","MSAB-B.ST","127941160","6.92757","Sweden"
"180","BICO Group","BICO.ST","127892363","1.81215","Sweden"
"181","Firefly AB","FIRE.ST","121429772","20.2336","Sweden"
"182","Prevas AB","PREV-B.ST","115933472","8.99739","Sweden"
"183","CTEK AB","CTEK.ST","104415675","1.49216","Sweden"
"184","Bulten AB","BULTEN.ST","94107036","4.48385","Sweden"
"185","W5 Solutions AB","W5.ST","93628628","5.33215","Sweden"
"186","Alcadon Group AB","ALCA.ST","85159773","3.47435","Sweden"
"187","CDON AB","CDON.ST","84790016","7.39222","Sweden"
"188","LumenRadio","LUMEN.ST","78392612","6.23059","Sweden"
"189","InfraCom Group AB","INFRA.ST","75547496","2.17543","Sweden"
"190","Railcare Group AB","RAIL.ST","73214391","3.0349","Sweden"
"191","CombinedX","CX.ST","71636946","3.67771","Sweden"
"192","Infant Bacterial Therapeutics AB","IBT-B.ST","70277683","5.2168","Sweden"
"193","Senzime AB","SEZI.ST","69066028","0.439309","Sweden"
"194","Rottneros","RROS.ST","68939574","0.2582","Sweden"
"195","Nordisk Bergteknik AB","NORB-B.ST","68459063","1.19604","Sweden"
"196","Nanexa AB","NANEXA.ST","63981260","0.393061","Sweden"
"197","Nilörngruppen","NIL-B.ST","61167591","5.36464","Sweden"
