work,workLabel,sitelinks
http://www.wikidata.org/entity/Q1429353,På rymmen med Pippi Långstrump,11
http://www.wikidata.org/entity/Q1557128,"God afton, Herr Wallenberg",11
http://www.wikidata.org/entity/Q62513,Kautokeinoupproret,11
http://www.wikidata.org/entity/Q340058,Jalla! Jalla!,11
http://www.wikidata.org/entity/Q300442,Ett hål i mitt hjärta,11
http://www.wikidata.org/entity/Q18331,Att angöra en brygga,11
http://www.wikidata.org/entity/Q10536745,Iris och löjtnantshjärta,11
http://www.wikidata.org/entity/Q10697895,Till det som är vackert,11
http://www.wikidata.org/entity/Q31457048,Holiday,11
http://www.wikidata.org/entity/Q123944616,Passage,11
http://www.wikidata.org/entity/Q107112059,De oskyldiga,11
http://www.wikidata.org/entity/Q2576616,Ođđasat,11
http://www.wikidata.org/entity/Q964089,Parade,10
http://www.wikidata.org/entity/Q6858088,Torka aldrig tårar utan handskar,10
http://www.wikidata.org/entity/Q10429157,Resan till Fjäderkungens rike,10
http://www.wikidata.org/entity/Q3190021,Djungeldjuret Hugo – den stora filmhjälten,10
http://www.wikidata.org/entity/Q23683551,Springfloden,10
http://www.wikidata.org/entity/Q10496006,Fjällbackamorden,10
http://www.wikidata.org/entity/Q2272777,Melodifestivalen 2011,10
http://www.wikidata.org/entity/Q256273,Melodifestivalen 2009,10
http://www.wikidata.org/entity/Q4993181,Jerusalem,10
http://www.wikidata.org/entity/Q2394751,Gitmo – Krigets nya spelregler,10
http://www.wikidata.org/entity/Q3061212,Eva,10
http://www.wikidata.org/entity/Q4979898,Halvblod,10
http://www.wikidata.org/entity/Q4660699,En kvinnas ansikte,10
http://www.wikidata.org/entity/Q5306169,Miraklet,10
http://www.wikidata.org/entity/Q1761917,Karin Ingmarsdotter,10
http://www.wikidata.org/entity/Q1760143,Bröderna Mozart,10
http://www.wikidata.org/entity/Q4328822,Om Sara,10
http://www.wikidata.org/entity/Q4638734,491,10
http://www.wikidata.org/entity/Q5736773,Här har du ditt liv,10
http://www.wikidata.org/entity/Q751821,Livvakterna,10
http://www.wikidata.org/entity/Q1029748,Armadillo,10
http://www.wikidata.org/entity/Q1242727,Världens bästa Karlsson,10
http://www.wikidata.org/entity/Q897357,Hip hip hora!,10
http://www.wikidata.org/entity/Q1164493,Storm,10
http://www.wikidata.org/entity/Q222633,Stimulantia,10
http://www.wikidata.org/entity/Q20899449,Pojkarna,10
http://www.wikidata.org/entity/Q19787902,Efterskalv,10
http://www.wikidata.org/entity/Q21512824,The Girl King,10
http://www.wikidata.org/entity/Q12326643,Människor möts och ljuv musik uppstår i hjärtat,10
http://www.wikidata.org/entity/Q13406787,Emil och griseknoen,10
http://www.wikidata.org/entity/Q66022727,Valhalla,10
http://www.wikidata.org/entity/Q27996429,Aniara,10
http://www.wikidata.org/entity/Q11854200,Betongnatt,10
http://www.wikidata.org/entity/Q84471400,Breaking Surface,10
http://www.wikidata.org/entity/Q114843198,Hanteringen av odöda,10
http://www.wikidata.org/entity/Q116203455,Slow,10
http://www.wikidata.org/entity/Q131750758,The Love That Remains,10
http://www.wikidata.org/entity/Q7389898,Judaspengar,9
http://www.wikidata.org/entity/Q7389004,Havsgamar,9
http://www.wikidata.org/entity/Q2703659,Karins ansikte,9
http://www.wikidata.org/entity/Q7435226,Trädgårdsmästaren,9
http://www.wikidata.org/entity/Q4659307,Ett hemligt giftermål eller Bekännelsen på dödsbädden,9
http://www.wikidata.org/entity/Q1079728,De två saliga,9
http://www.wikidata.org/entity/Q27941646,Bamse och häxans dotter,9
http://www.wikidata.org/entity/Q1758203,Resan till Melonia,9
http://www.wikidata.org/entity/Q4676726,Pelle Svanslös,9
http://www.wikidata.org/entity/Q98928738,Young Wallander,9
http://www.wikidata.org/entity/Q16939437,Martin Beck,9
http://www.wikidata.org/entity/Q15633730,Welcome to Sweden,9
http://www.wikidata.org/entity/Q137652478,Fjord (film),9
http://www.wikidata.org/entity/Q11691983,Melodifestivalen 2010,9
http://www.wikidata.org/entity/Q7718617,Gunnar Hedes saga,9
http://www.wikidata.org/entity/Q7435072,Prästen,9
http://www.wikidata.org/entity/Q7435149,Livets konflikter,9
http://www.wikidata.org/entity/Q7389457,Hans nåds testamente,9
http://www.wikidata.org/entity/Q7751973,Klostret i Sendomir,9
http://www.wikidata.org/entity/Q5100994,Älskarinnan,9
http://www.wikidata.org/entity/Q3286044,Mannen som slutade röka,9
