wordLabel,score,rank,sitelinks,sources
Vi står inte ut men vi slutar aldrig kämpa,14.0,92,9.0,1
Mattias Albinsson,4.0,83,18.0,1
anisdondemina,8.0,87,14.0,1
Linus Wahlgren,19.0,98,3.0,1
oliver forslin,4.0,84,17.0,1
fannynoord,8.0,88,13.0,1
Carola Häggkvist,19.0,99,2.0,1
Anders Lindberg,4.0,85,16.0,1
Jacke & Sofia,18.0,99,2.0,1
svenskabarndomen,8.0,89,12.0,1
Tan By Klara🖤,19.0,100,1.0,1
Per Gudmundson,4.0,86,15.0,1
Familjen Almqvist,18.0,100,1.0,1
martinskalander,8.0,90,11.0,1
Jerry gillar,14.0,96,5.0,1
Christer Sfeirكريستر,4.0,87,14.0,1
ifilip24,8.0,91,10.0,1
Wisti,14.0,97,4.0,1
ᴅɪᴠɪᴅᴇɴᴅ ʙᴏᴍʙᴇʀ,4.0,88,13.0,1
martharasch,8.0,92,9.0,1
Fräckisar,14.0,98,3.0,1
Lennart,4.0,89,12.0,1
nocco,8.0,93,8.0,1
GAD,4.0,90,11.0,1
humorgruppen.kaj,8.0,94,7.0,1
Sune ID Hund,13.0,99,2.0,1
Ivar Arpi,4.0,91,10.0,1
hilmastillle,8.0,95,6.0,1
Fredrik Steen Officiell sida,13.0,100,1.0,1
Philip Syrén,4.0,92,9.0,1
haga.barber,8.0,96,5.0,1
Beatrice Timgren,4.0,93,8.0,1
zm10zm,8.0,97,4.0,1
Nima Gholam Ali Pour,4.0,94,7.0,1
sarabekaduic,8.0,98,3.0,1
vigato2.0,8.0,99,2.0,1
Ann-Sofie Hermansson,4.0,96,5.0,1
normal_sverige,8.0,100,1.0,1
MEMIS,4.0,97,4.0,1
Josef Fransson,4.0,98,3.0,1
Pål Jonson,4.0,99,2.0,1
Adam Danieli,4.0,100,1.0,1
