company,companyLabel,sitelinks
http://www.wikidata.org/entity/Q31898933,Trafik-Turist-Transportflyg,2
http://www.wikidata.org/entity/Q56300757,AB Träkol i Vansbro,2
http://www.wikidata.org/entity/Q56301163,Kasper Höglund AB,2
http://www.wikidata.org/entity/Q56300847,Lundqvist & Huddén AB,2
http://www.wikidata.org/entity/Q56301219,Oxelösund–Flen–Västmanlands Järnväg,2
http://www.wikidata.org/entity/Q56301133,Södra Dalarnes Järnväg,2
http://www.wikidata.org/entity/Q60754895,Swedeltaco,2
http://www.wikidata.org/entity/Q61588845,Beetroot AB,2
http://www.wikidata.org/entity/Q99750456,Lux,2
http://www.wikidata.org/entity/Q10426041,Bankaktiebolaget Södra Sverige,1
http://www.wikidata.org/entity/Q10432122,Bohusbanken,1
http://www.wikidata.org/entity/Q10501278,Föreningsbankernas bank,1
http://www.wikidata.org/entity/Q10507657,Gota Bank,1
http://www.wikidata.org/entity/Q10507679,Gotlands Enskilda Bank,1
http://www.wikidata.org/entity/Q10512872,Göteborgs handelsbank,1
http://www.wikidata.org/entity/Q10520599,Helsinglands Enskilda Bank,1
http://www.wikidata.org/entity/Q10522431,Hernösands enskilda bank,1
http://www.wikidata.org/entity/Q10535311,Industrikreditaktiebolaget,1
http://www.wikidata.org/entity/Q10536145,Inteckningsbanken,1
http://www.wikidata.org/entity/Q10547954,Kopparbergs enskilda bank,1
http://www.wikidata.org/entity/Q10553876,Landshypotek Bank,1
http://www.wikidata.org/entity/Q10576148,Malmö diskont,1
http://www.wikidata.org/entity/Q10579269,Medmera,1
http://www.wikidata.org/entity/Q10602098,Nordiska Handelsbanken,1
http://www.wikidata.org/entity/Q10602811,Norrköpings enskilda bank,1
http://www.wikidata.org/entity/Q10666475,Sesambanken,1
http://www.wikidata.org/entity/Q10671156,Skånska banken,1
http://www.wikidata.org/entity/Q10671165,Skånska handelsbanken,1
http://www.wikidata.org/entity/Q10674399,Sparbanken Öresund,1
http://www.wikidata.org/entity/Q10674403,Sparbankernas bank,1
http://www.wikidata.org/entity/Q10683837,Sundsvalls Handelsbank,1
http://www.wikidata.org/entity/Q10683859,Sundsvallsbanken,1
http://www.wikidata.org/entity/Q10684608,Sveabanken,1
http://www.wikidata.org/entity/Q10685099,Svenska Lantmännens Bank,1
http://www.wikidata.org/entity/Q10685902,Sveriges Föreningsbank,1
http://www.wikidata.org/entity/Q10686174,Sveriges investeringsbank,1
http://www.wikidata.org/entity/Q10686771,Sydsvenska kreditaktiebolaget,1
http://www.wikidata.org/entity/Q10705438,Trygg-Banken,1
http://www.wikidata.org/entity/Q10709828,Uplandsbanken,1
http://www.wikidata.org/entity/Q5511712,Föreningsbanken,1
http://www.wikidata.org/entity/Q101002624,Northmill Bank,1
http://www.wikidata.org/entity/Q104696750,Gefleborgs Enskilda Bank,1
http://www.wikidata.org/entity/Q10533010,Svenska Miljöinstitutet,1
http://www.wikidata.org/entity/Q105687965,Jämtlands Folkbank,1
http://www.wikidata.org/entity/Q105765828,AB Kreditkassan av år 1922,1
http://www.wikidata.org/entity/Q105763474,Smålands Bank,1
http://www.wikidata.org/entity/Q105983810,Stockholms diskontobank,1
http://www.wikidata.org/entity/Q10684805,Svensk Förening för Bild- och Funktionsmedicin,1
http://www.wikidata.org/entity/Q109910248,Hallands lantmannabank,1
http://www.wikidata.org/entity/Q110386113,Köpmannabanken,1
http://www.wikidata.org/entity/Q114797096,Sparbanksgruppen,1
http://www.wikidata.org/entity/Q121487731,Folkärna folkbank,1
http://www.wikidata.org/entity/Q124150753,Jämtlandsbanken,1
http://www.wikidata.org/entity/Q124392155,AB Svensk Torvförädling,1
http://www.wikidata.org/entity/Q124416996,Wästgöta Finans,1
http://www.wikidata.org/entity/Q124490985,Stockholms tjänstemannasparkassa,1
http://www.wikidata.org/entity/Q125021860,Vrigstads sparbank,1
http://www.wikidata.org/entity/Q135294659,Sparbanken Bergslagen,1
http://www.wikidata.org/entity/Q15917973,Norrköpings Folkbank,1
http://www.wikidata.org/entity/Q17415828,Sparbanken Skåne,1
http://www.wikidata.org/entity/Q18786002,De Förenade Kolsyrefabrikernas AB,1
http://www.wikidata.org/entity/Q20967096,MTD,1
http://www.wikidata.org/entity/Q26253665,Westerbottens enskilda bank,1
http://www.wikidata.org/entity/Q31890142,Sparbanken i Karlshamn,1
http://www.wikidata.org/entity/Q31899983,Malmö Folkbank,1
