character,characterLabel,sitelinks
http://www.wikidata.org/entity/Q192677,Leviatan,61
http://www.wikidata.org/entity/Q187349,Doktor Watson,61
http://www.wikidata.org/entity/Q131351,Antigone,61
http://www.wikidata.org/entity/Q165769,Penelope,61
http://www.wikidata.org/entity/Q172725,Ajax,61
http://www.wikidata.org/entity/Q308398,Midas,61
http://www.wikidata.org/entity/Q192482,Telemachos,61
http://www.wikidata.org/entity/Q131200,Tux,61
http://www.wikidata.org/entity/Q40520,Rebecka,61
http://www.wikidata.org/entity/Q156290,Metusalem,61
http://www.wikidata.org/entity/Q201861,Nimrod,61
http://www.wikidata.org/entity/Q220822,Esau,61
http://www.wikidata.org/entity/Q211663,Rehabeam,61
http://www.wikidata.org/entity/Q185737,Bilbo Bagger,61
http://www.wikidata.org/entity/Q185747,Nemesis,61
http://www.wikidata.org/entity/Q191794,Hello Kitty,61
http://www.wikidata.org/entity/Q47553,Ishtar,61
http://www.wikidata.org/entity/Q179641,Draco Malfoy,60
http://www.wikidata.org/entity/Q717588,Thor,60
http://www.wikidata.org/entity/Q191815,Neith,60
http://www.wikidata.org/entity/Q201727,Tre härskare och fem kejsare,60
http://www.wikidata.org/entity/Q51797,Leia Organa,60
http://www.wikidata.org/entity/Q108019,Thalia,60
http://www.wikidata.org/entity/Q185670,Echidna,60
http://www.wikidata.org/entity/Q213633,Debora,60
http://www.wikidata.org/entity/Q235849,Elisabet,60
http://www.wikidata.org/entity/Q2281,Sauron,60
http://www.wikidata.org/entity/Q41054,Epimetheus,60
http://www.wikidata.org/entity/Q190521,Khonsu,60
http://www.wikidata.org/entity/Q214672,Enlil,60
http://www.wikidata.org/entity/Q199647,Thanatos,60
http://www.wikidata.org/entity/Q6567,Godzilla,59
http://www.wikidata.org/entity/Q7828,Marge Simpson,59
http://www.wikidata.org/entity/Q314492,Ragnar Lodbrok,59
http://www.wikidata.org/entity/Q103992,Melpomene,59
http://www.wikidata.org/entity/Q104002,Urania,59
http://www.wikidata.org/entity/Q207389,Rakel,59
http://www.wikidata.org/entity/Q213850,Amos,59
http://www.wikidata.org/entity/Q244912,Hiskia,59
http://www.wikidata.org/entity/Q272277,Batseba,59
http://www.wikidata.org/entity/Q586541,Terach,59
http://www.wikidata.org/entity/Q183417,Keiron,59
http://www.wikidata.org/entity/Q182837,Koios,59
http://www.wikidata.org/entity/Q131122,Erebos,59
http://www.wikidata.org/entity/Q189175,Aither,59
http://www.wikidata.org/entity/Q184570,Iris,59
http://www.wikidata.org/entity/Q211611,Anuket,59
http://www.wikidata.org/entity/Q240679,Hercules,59
http://www.wikidata.org/entity/Q108732,Pluto,58
http://www.wikidata.org/entity/Q476824,Kalki,58
http://www.wikidata.org/entity/Q116273,Tefnut,58
http://www.wikidata.org/entity/Q183097,Khnum,58
http://www.wikidata.org/entity/Q131157,Klytaimnestra,58
http://www.wikidata.org/entity/Q199438,Nemeiska lejonet,58
http://www.wikidata.org/entity/Q27613,Kadmos,58
http://www.wikidata.org/entity/Q282220,Juda,58
http://www.wikidata.org/entity/Q313228,Josia,58
http://www.wikidata.org/entity/Q177329,Frodo Bagger,58
http://www.wikidata.org/entity/Q188044,Merlin,58
http://www.wikidata.org/entity/Q193115,Skylla,58
http://www.wikidata.org/entity/Q192136,Krios,58
http://www.wikidata.org/entity/Q48961,Kalypso,58
http://www.wikidata.org/entity/Q179014,Io,58
http://www.wikidata.org/entity/Q223805,Ahriman,57
http://www.wikidata.org/entity/Q271990,Naga,57
http://www.wikidata.org/entity/Q488159,Morfar Frost,57
http://www.wikidata.org/entity/Q210372,Don Juan,57
http://www.wikidata.org/entity/Q103975,Kalliope,57
http://www.wikidata.org/entity/Q186271,Patroklos,57
http://www.wikidata.org/entity/Q12038,Cthulhu,57
http://www.wikidata.org/entity/Q113904,Radha,57
http://www.wikidata.org/entity/Q1631090,Deadpool,57
http://www.wikidata.org/entity/Q208150,Apis,57
http://www.wikidata.org/entity/Q215940,Khepri,57
http://www.wikidata.org/entity/Q191589,Hel,57
http://www.wikidata.org/entity/Q490838,Azrael,57
http://www.wikidata.org/entity/Q158952,Catwoman,56
http://www.wikidata.org/entity/Q215085,Golem,56
http://www.wikidata.org/entity/Q2276627,Thanos,56
http://www.wikidata.org/entity/Q5846,Lisa Simpson,56
http://www.wikidata.org/entity/Q189726,Enki,56
http://www.wikidata.org/entity/Q122018,Sinbad Sjöfararen,56
http://www.wikidata.org/entity/Q216445,Scheherazade,56
http://www.wikidata.org/entity/Q243811,Påvinnan Johanna,56
http://www.wikidata.org/entity/Q104042,Terpsichore,56
http://www.wikidata.org/entity/Q182019,Leda,56
http://www.wikidata.org/entity/Q190323,Atalante,56
http://www.wikidata.org/entity/Q190582,Danaë,56
http://www.wikidata.org/entity/Q192673,Ifigenia,56
http://www.wikidata.org/entity/Q460763,Benjamin,56
http://www.wikidata.org/entity/Q539890,Lasaros,56
http://www.wikidata.org/entity/Q192082,Karybdis,56
http://www.wikidata.org/entity/Q327553,Daredevil,56
http://www.wikidata.org/entity/Q188931,Bes,56
http://www.wikidata.org/entity/Q188236,Kybele,56
http://www.wikidata.org/entity/Q178831,Aurora,56
http://www.wikidata.org/entity/Q217420,Nanna,56
http://www.wikidata.org/entity/Q11937,Joakim von Anka,55
http://www.wikidata.org/entity/Q216810,King Kong,55
http://www.wikidata.org/entity/Q715763,Kajsa Anka,55
http://www.wikidata.org/entity/Q211258,Deva,55
http://www.wikidata.org/entity/Q494511,Devi,55
http://www.wikidata.org/entity/Q32143,Hapi,55
http://www.wikidata.org/entity/Q190565,Metis,55
http://www.wikidata.org/entity/Q104413,Erato,55
http://www.wikidata.org/entity/Q178641,Peleus,55
http://www.wikidata.org/entity/Q189872,Bellerofon,55
