person,personLabel,sitelinks
http://www.wikidata.org/entity/Q26720581,Mattias Falck,18
http://www.wikidata.org/entity/Q23418572,Andreas Kramer,18
http://www.wikidata.org/entity/Q60823232,Amanda Nildén,18
http://www.wikidata.org/entity/Q62079573,Linn Svahn,18
http://www.wikidata.org/entity/Q96012717,Patrik Wålemark,18
http://www.wikidata.org/entity/Q27549,Jacob Markström,17
http://www.wikidata.org/entity/Q350284,Adam Larsson,17
http://www.wikidata.org/entity/Q961358,Calle Järnkrok,17
http://www.wikidata.org/entity/Q1413527,Filip Forsberg,17
http://www.wikidata.org/entity/Q795483,Amin Affane,17
http://www.wikidata.org/entity/Q1354583,Ulrik Munther,17
http://www.wikidata.org/entity/Q1702919,Jonas Brodin,17
http://www.wikidata.org/entity/Q1731789,Rickard Rakell,17
http://www.wikidata.org/entity/Q2946158,Simon Kroon,17
http://www.wikidata.org/entity/Q2397151,Henrik Harlaut,17
http://www.wikidata.org/entity/Q4934575,Evin Ahmad,17
http://www.wikidata.org/entity/Q3499447,Jamina Roberts,17
http://www.wikidata.org/entity/Q4720354,Alexander Wennberg,17
http://www.wikidata.org/entity/Q4951993,Nathalie Hagman,17
http://www.wikidata.org/entity/Q5245079,Melker Hallberg,17
http://www.wikidata.org/entity/Q5566331,Modou Barrow,17
http://www.wikidata.org/entity/Q5111665,Christoffer Nyman,17
http://www.wikidata.org/entity/Q6254108,Leonard Zuta,17
http://www.wikidata.org/entity/Q6219808,Jacob Une Larsson,17
http://www.wikidata.org/entity/Q15534391,Carlos Strandberg,17
http://www.wikidata.org/entity/Q15114032,Gustav Engvall,17
http://www.wikidata.org/entity/Q16761673,Seinabo Sey,17
http://www.wikidata.org/entity/Q19520337,Amine Gülse,17
http://www.wikidata.org/entity/Q19754512,Felix Beijmo,17
http://www.wikidata.org/entity/Q20652772,Hosam Aiesh,17
http://www.wikidata.org/entity/Q18698699,Felix Michel,17
http://www.wikidata.org/entity/Q24450458,Johanna Rytting Kaneryd,17
http://www.wikidata.org/entity/Q33126320,Thobias Montler,17
http://www.wikidata.org/entity/Q60248316,Lucas Raymond,17
http://www.wikidata.org/entity/Q60677561,Benjamin Nygren,17
http://www.wikidata.org/entity/Q84423095,Emma Kullberg,17
http://www.wikidata.org/entity/Q70251271,Armin Gigovic,17
http://www.wikidata.org/entity/Q88223519,Dino Beganovic,17
http://www.wikidata.org/entity/Q106967174,Daniel Svensson,17
http://www.wikidata.org/entity/Q124335093,Viktor Brandt,17
http://www.wikidata.org/entity/Q113200,Tove Alexandersson,16
http://www.wikidata.org/entity/Q968128,Erdin Demir,16
http://www.wikidata.org/entity/Q248575,Gina Dirawi,16
http://www.wikidata.org/entity/Q389577,Carl Klingberg,16
http://www.wikidata.org/entity/Q1938118,Miriam Bryant,16
http://www.wikidata.org/entity/Q2154755,Marcus Nyman,16
http://www.wikidata.org/entity/Q2577203,William Karlsson,16
http://www.wikidata.org/entity/Q2033648,Oskar Eriksson,16
http://www.wikidata.org/entity/Q4299006,Pontus Tidemand,16
http://www.wikidata.org/entity/Q4724420,Alhaji Kamara,16
http://www.wikidata.org/entity/Q4951978,Clara Hagman,16
http://www.wikidata.org/entity/Q4976455,Khaddi Sagnia,16
http://www.wikidata.org/entity/Q5371178,Emil Bergström,16
http://www.wikidata.org/entity/Q6836969,Michelle Coleman,16
http://www.wikidata.org/entity/Q14815613,Ludvig Håkanson,16
http://www.wikidata.org/entity/Q15543156,Niclas Eliasson,16
http://www.wikidata.org/entity/Q15727671,Samuel Gustafson,16
