brand,brandLabel,sitelinks
http://www.wikidata.org/entity/Q45700,Konami,57
http://www.wikidata.org/entity/Q107074885,Warner Brothers Discovery,57
http://www.wikidata.org/entity/Q29043471,Neuralink,57
http://www.wikidata.org/entity/Q14428,Capcom,57
http://www.wikidata.org/entity/Q193199,UBS,56
http://www.wikidata.org/entity/Q463094,Foxconn,56
http://www.wikidata.org/entity/Q487494,Tesco,56
http://www.wikidata.org/entity/Q544847,Qualcomm,56
http://www.wikidata.org/entity/Q183412,EMI,56
http://www.wikidata.org/entity/Q542767,Christian Dior SA,56
http://www.wikidata.org/entity/Q219635,BlackRock,55
http://www.wikidata.org/entity/Q489815,DHL,55
http://www.wikidata.org/entity/Q204296,Air New Zealand,55
http://www.wikidata.org/entity/Q212322,Glaxo Smith Kline,55
http://www.wikidata.org/entity/Q291796,China Eastern Airlines,55
http://www.wikidata.org/entity/Q217338,Casio,55
http://www.wikidata.org/entity/Q839466,Domino's Pizza,55
http://www.wikidata.org/entity/Q127955,Nikola Tesla-flygplatsen,55
http://www.wikidata.org/entity/Q8681,Pan American World Airways,55
http://www.wikidata.org/entity/Q190238,Norsk Rikskringkasting,55
http://www.wikidata.org/entity/Q194393,SK Slavia Prag,55
http://www.wikidata.org/entity/Q27564,Dodge,55
http://www.wikidata.org/entity/Q32277,Virgin Atlantic Airways,55
http://www.wikidata.org/entity/Q504998,LVMH,55
http://www.wikidata.org/entity/Q15733006,Deepmind,55
http://www.wikidata.org/entity/Q29803,Isuzu,54
http://www.wikidata.org/entity/Q217673,Vespa,54
http://www.wikidata.org/entity/Q51711,Quora,54
http://www.wikidata.org/entity/Q217583,Berkshire Hathaway,54
http://www.wikidata.org/entity/Q503308,Southwest Airlines,54
http://www.wikidata.org/entity/Q156376,Vimeo,54
http://www.wikidata.org/entity/Q44868,Guangzhou (flygplats),54
http://www.wikidata.org/entity/Q113215,Carlsberg,54
http://www.wikidata.org/entity/Q215293,Volvo Personvagnar,54
http://www.wikidata.org/entity/Q407448,Air Liquide,54
http://www.wikidata.org/entity/Q658192,Vilnius universitet,54
http://www.wikidata.org/entity/Q847743,Dunkin' Donuts,54
http://www.wikidata.org/entity/Q162345,LG Electronics,53
http://www.wikidata.org/entity/Q193412,Texas Instruments,53
http://www.wikidata.org/entity/Q245343,Barclays,53
http://www.wikidata.org/entity/Q335147,Wizz Air,53
http://www.wikidata.org/entity/Q731938,Astra Zeneca,53
http://www.wikidata.org/entity/Q1113804,Comcast,53
http://www.wikidata.org/entity/Q193481,AC Sparta Prag,53
http://www.wikidata.org/entity/Q27460,Automobile Dacia,53
http://www.wikidata.org/entity/Q152433,Xerox,53
http://www.wikidata.org/entity/Q488048,PwC,53
http://www.wikidata.org/entity/Q171335,Sauber,53
http://www.wikidata.org/entity/Q503191,Nescafé,52
http://www.wikidata.org/entity/Q27585,America Online,52
http://www.wikidata.org/entity/Q180855,Heineken,52
http://www.wikidata.org/entity/Q186394,Fujitsu,52
http://www.wikidata.org/entity/Q211906,Brøndby IF,52
http://www.wikidata.org/entity/Q214346,Viacom,52
http://www.wikidata.org/entity/Q329347,Lukoil,52
http://www.wikidata.org/entity/Q412826,Ajinomoto,52
http://www.wikidata.org/entity/Q26463,Industrial and Commercial Bank of China,52
http://www.wikidata.org/entity/Q63327,Airbnb,52
http://www.wikidata.org/entity/Q83716,Aer Lingus,52
http://www.wikidata.org/entity/Q275623,Groupe PSA,52
http://www.wikidata.org/entity/Q589757,MyHeritage,52
http://www.wikidata.org/entity/Q14091,iMac,51
http://www.wikidata.org/entity/Q179433,Bridgestone,51
http://www.wikidata.org/entity/Q194360,American Express,51
http://www.wikidata.org/entity/Q207770,Pirelli,51
http://www.wikidata.org/entity/Q207983,Monsanto,51
http://www.wikidata.org/entity/Q210047,Petrobras,51
http://www.wikidata.org/entity/Q291090,China Southern Airlines,51
http://www.wikidata.org/entity/Q219203,NEC,51
http://www.wikidata.org/entity/Q713418,Taiwan Semiconductor Manufacturing Company Limited,51
http://www.wikidata.org/entity/Q380580,Aegean Airlines,51
http://www.wikidata.org/entity/Q27415,Buick,51
http://www.wikidata.org/entity/Q51756,China Airlines,51
http://www.wikidata.org/entity/Q372657,Credit Suisse,51
http://www.wikidata.org/entity/Q207708,Q207708,51
http://www.wikidata.org/entity/Q219501,Saab AB,51
http://www.wikidata.org/entity/Q736464,Hanna-Barbera Productions,51
http://www.wikidata.org/entity/Q1323594,Walt Disney Studios Motion Pictures,51
http://www.wikidata.org/entity/Q1438774,Supercell,51
http://www.wikidata.org/entity/Q207922,Atari,50
http://www.wikidata.org/entity/Q259340,7-Eleven,50
http://www.wikidata.org/entity/Q156829,Air Berlin,50
http://www.wikidata.org/entity/Q185278,News Corporation,50
http://www.wikidata.org/entity/Q207784,Square Enix,50
http://www.wikidata.org/entity/Q211165,Asiana Airlines,50
http://www.wikidata.org/entity/Q333718,Johnson & Johnson,50
http://www.wikidata.org/entity/Q338825,Accenture,50
http://www.wikidata.org/entity/Q390107,Burberry,50
http://www.wikidata.org/entity/Q467752,Verizon,50
http://www.wikidata.org/entity/Q9396,Deutsche Telekom,50
http://www.wikidata.org/entity/Q127962,Levi Strauss & Co.,50
http://www.wikidata.org/entity/Q202585,RCA Records,50
http://www.wikidata.org/entity/Q136484,ZTE,50
http://www.wikidata.org/entity/Q466183,Reebok,50
http://www.wikidata.org/entity/Q491748,Deloitte,50
http://www.wikidata.org/entity/Q1431486,Orange,50
http://www.wikidata.org/entity/Q1630304,Hulu,50
http://www.wikidata.org/entity/Q29913,Iveco,50
http://www.wikidata.org/entity/Q208489,El Al,49
http://www.wikidata.org/entity/Q219508,Citigroup,49
http://www.wikidata.org/entity/Q822614,Alaska Airlines,49
http://www.wikidata.org/entity/Q406643,AirAsia,49
http://www.wikidata.org/entity/Q459965,Caterpillar,49
http://www.wikidata.org/entity/Q487292,Allianz SE,49
http://www.wikidata.org/entity/Q550258,Wendy's,49
http://www.wikidata.org/entity/Q2309,VAZ,49
http://www.wikidata.org/entity/Q30378,Kamaz,49
http://www.wikidata.org/entity/Q52825,ABB,49
http://www.wikidata.org/entity/Q191866,Association internationale des étudiants en sciences économiques et commerciales,49
http://www.wikidata.org/entity/Q204474,Id Software,49
http://www.wikidata.org/entity/Q215363,Sveriges Television,49
http://www.wikidata.org/entity/Q39064,Canonical Ltd.,49
http://www.wikidata.org/entity/Q175391,Fender Musical Instruments Corporation,49
http://www.wikidata.org/entity/Q55606242,ByteDance,49
http://www.wikidata.org/entity/Q97439162,Stellantis,49
http://www.wikidata.org/entity/Q493064,Q493064,48
http://www.wikidata.org/entity/Q217599,Carrefour,48
http://www.wikidata.org/entity/Q223127,Logitech,48
http://www.wikidata.org/entity/Q270059,7 Up,48
http://www.wikidata.org/entity/Q212900,Lehman Brothers,48
http://www.wikidata.org/entity/Q459477,FedEx,48
http://www.wikidata.org/entity/Q491627,Hugo Boss,48
http://www.wikidata.org/entity/Q2311,Airbus Group SE,48
http://www.wikidata.org/entity/Q18224,A.P. Møller-Mærsk A/S,48
http://www.wikidata.org/entity/Q21077,Warner Music Group,48
http://www.wikidata.org/entity/Q50595,YG Entertainment,48
http://www.wikidata.org/entity/Q203059,Virgin Records,48
http://www.wikidata.org/entity/Q739000,Geely Holding,48
http://www.wikidata.org/entity/Q744800,Fuji Television,48
http://www.wikidata.org/entity/Q1127887,Vivendi SA,48
http://www.wikidata.org/entity/Q806651,Rysslands centralbank,48
http://www.wikidata.org/entity/Q2462124,Trump Organization,48
http://www.wikidata.org/entity/Q319515,Converse,47
http://www.wikidata.org/entity/Q1323565,Transformers,47
http://www.wikidata.org/entity/Q142539,Dropbox,47
http://www.wikidata.org/entity/Q116758847,Anthropic,47
http://www.wikidata.org/entity/Q161833,Leica,47
http://www.wikidata.org/entity/Q205012,Sberbank,47
http://www.wikidata.org/entity/Q216796,Lincoln,47
http://www.wikidata.org/entity/Q329953,Northrop Grumman Corporation,47
http://www.wikidata.org/entity/Q842108,Euronext,47
http://www.wikidata.org/entity/Q512468,Garuda Indonesia,47
http://www.wikidata.org/entity/Q609466,Colgate-Palmolive,47
http://www.wikidata.org/entity/Q646741,Vueling Airlines,47
http://www.wikidata.org/entity/Q27511,Daihatsu,47
http://www.wikidata.org/entity/Q27893,Arcelor Mittal,47
http://www.wikidata.org/entity/Q13977,Bloomberg L.P.,47
http://www.wikidata.org/entity/Q76039,Hudson Bay-kompaniet,47
http://www.wikidata.org/entity/Q465449,Miramax Films,47
http://www.wikidata.org/entity/Q309084,Alstom,47
http://www.wikidata.org/entity/Q857063,Citibank,47
http://www.wikidata.org/entity/Q1585088,Hardee's,47
http://www.wikidata.org/entity/Q724759,NBC Universal,47
http://www.wikidata.org/entity/Q335016,Tabasco,46
http://www.wikidata.org/entity/Q337408,Nivea,46
http://www.wikidata.org/entity/Q164740,Fujifilm,46
http://www.wikidata.org/entity/Q334204,Morgan Stanley,46
http://www.wikidata.org/entity/Q861042,Western Union,46
http://www.wikidata.org/entity/Q483938,SM Entertainment,46
http://www.wikidata.org/entity/Q1066858,Tiffany & Co.,46
http://www.wikidata.org/entity/Q507154,Novartis,46
http://www.wikidata.org/entity/Q125470407,Airalo,46
http://www.wikidata.org/entity/Q17081612,Moderna,46
http://www.wikidata.org/entity/Q375791,Standard Oil,46
http://www.wikidata.org/entity/Q320466,White Star Line,46
http://www.wikidata.org/entity/Q213849,ATI Technologies,46
http://www.wikidata.org/entity/Q35594,Koenigsegg,46
http://www.wikidata.org/entity/Q505922,Electrolux,46
http://www.wikidata.org/entity/Q611115,Swarovski,46
http://www.wikidata.org/entity/Q821172,Ria Novosti,46
http://www.wikidata.org/entity/Q1475312,Vinci,46
http://www.wikidata.org/entity/Q16499972,OnePlus,46
http://www.wikidata.org/entity/Q896,Mountain Dew,45
http://www.wikidata.org/entity/Q207786,Tamagotchi,45
http://www.wikidata.org/entity/Q214314,Pentium,45
http://www.wikidata.org/entity/Q159433,3M,45
http://www.wikidata.org/entity/Q160229,Telefónica,45
http://www.wikidata.org/entity/Q217493,Paradox Interactive,45
http://www.wikidata.org/entity/Q738770,Western Digital,45
http://www.wikidata.org/entity/Q744149,Wells Fargo,45
http://www.wikidata.org/entity/Q748148,Kawasaki Heavy Industries,45
http://www.wikidata.org/entity/Q496302,Deere & Company,45
